bgId|traitIds
FARMER|strong,tough
DESERTER|craven,quick
HUNTER|eagle_eyes,quick
NOMAD|quick,brave
NOBLE|brave,fragile
MONK|brave,iron_jaw
BANDIT|brave,clumsy
BLACKSMITH|strong,tough
PHYSICIAN|eagle_eyes,fragile
BEGGAR|tiny,asthmatic
MERCHANT|short_sighted,craven
ASSASSIN|quick,natural_fighter
LABORER|strong,tough
FISHERMAN|tough,hesitant
MINER|strong,iron_jaw
PERFORMER|quick,fragile
MOHIST|brave,iron_jaw
REFUGEE|craven,fragile
GRAVEDIGGER|tough,hesitant
CRIPPLE|iron_jaw,asthmatic
WOODCUTTER|strong,tough
BUTCHER|strong,brave
HERDSMAN|tough,eagle_eyes
MILITIAMAN|brave,strong
SCOUT|quick,eagle_eyes
SWORDSMAN|natural_fighter,brave
CAVALRYMAN|brave,quick
DIVINER|eagle_eyes,fragile
KNIGHT_ERRANT|brave,natural_fighter
VETERAN_OFFICER|brave,iron_jaw
SWORDMASTER|natural_fighter,quick
STRATEGIST|eagle_eyes,brave
