biome|place
NORTHERN_TUNDRA|白狼岭
NORTHERN_TUNDRA|冰河渡
NORTHERN_TUNDRA|风雪关
NORTHERN_TUNDRA|苍狼谷
NORTHERN_TUNDRA|北望台
NORTHERN_TUNDRA|寒铁矿
NORTHERN_TUNDRA|朔风隘
NORTHERN_TUNDRA|冻土坡
NORTHERN_TUNDRA|雪灵山
NORTHERN_TUNDRA|霜刃峰
CENTRAL_PLAINS|落霞坡
CENTRAL_PLAINS|青牛岗
CENTRAL_PLAINS|柳叶渡
CENTRAL_PLAINS|官道口
CENTRAL_PLAINS|枫林铺
CENTRAL_PLAINS|金鸡岭
CENTRAL_PLAINS|望乡台
CENTRAL_PLAINS|桃花镇
CENTRAL_PLAINS|卧虎岗
CENTRAL_PLAINS|龙门驿
SOUTHERN_WETLANDS|雾隐泽
SOUTHERN_WETLANDS|毒蛇溪
SOUTHERN_WETLANDS|瘴气林
SOUTHERN_WETLANDS|百越寨
SOUTHERN_WETLANDS|蛮荒岭
SOUTHERN_WETLANDS|幽篁谷
SOUTHERN_WETLANDS|密林深处
SOUTHERN_WETLANDS|苍梧山
SOUTHERN_WETLANDS|象牙潭
SOUTHERN_WETLANDS|蛟龙湾
FAR_SOUTH_DESERT|黄沙渡
FAR_SOUTH_DESERT|驼铃泉
FAR_SOUTH_DESERT|流沙城
FAR_SOUTH_DESERT|烈日谷
FAR_SOUTH_DESERT|绿洲镇
FAR_SOUTH_DESERT|沙丘关
FAR_SOUTH_DESERT|胡杨林
FAR_SOUTH_DESERT|月牙泉
FAR_SOUTH_DESERT|戈壁滩
FAR_SOUTH_DESERT|天山口
