bgId|story
FARMER|原本在垄亩间耕作，直到秦军的征粮官拿走了最后一粒米。
FARMER|一场大旱毁了他的庄稼，为了不让家人饿死。
FARMER|因为不堪忍受沉重的徭役。
DESERTER|长平之战的幸存者之一。
DESERTER|他在一次夜袭中扔掉了戈矛。
DESERTER|作为前锋营的死士，他奇迹般地活了下来。
HUNTER|他曾独自在深山中追踪猛虎。
HUNTER|官府划定了新的禁苑。
HUNTER|他的村庄被土匪洗劫。
NOMAD|因为部落间的仇杀，他失去了牛羊。
NOMAD|他向向往中原的繁华，骑着瘦马一路南下。
NOBLE|他的家族在政治斗争中败落。
NOBLE|为了复兴家族的荣光，他散尽家财。
NOBLE|他曾是稷下学宫的学子。
BLACKSMITH|炉火已熄，国破家亡，唯有手中铁锤尚能锻造命运。
BLACKSMITH|昔日为兵器师，今欲以血肉之躯，亲验所铸利刃锋芒。
BLACKSMITH|厌倦了为贵族打造华而不实的玩物，想为真正的战士铸造武器。
PHYSICIAN|悬壶济世，终难医乱世沉疴，唯有以身涉险，方能寻得生机。
PHYSICIAN|医者仁心，却见生灵涂炭，愿入伍以血肉之躯，止戈救人。
PHYSICIAN|尝尝药石无功，今欲于刀光剑影中，洞悉生死奥秘。
BEGGAR|饥寒交迫，命如草芥，不如提刀入伍，或能博得一线生机。
BEGGAR|昔日沿街乞讨，今欲以手中之刃，夺回本该属于自己的尊严。
BEGGAR|乱世之中，乞食亦难，不如以血肉之躯，搏一个饱饭。
MERCHANT|商道断绝，货物尽失，唯有刀剑之路，或可重开财源。
MERCHANT|曾逐利天下，今欲以武力为舟，再渡乱世洪流。
MERCHANT|厌恶了官吏的盘剥，渴望以武力守护自己的所得。
ASSASSIN|一击不中，反遭追杀，不如投身乱世，以血还血。
ASSASSIN|厌倦了阴影中的生活，欲以手中之刃，光明正大立于战场。
ASSASSIN|昔日为钱财取人性命，今欲寻一明主，以武报国。
LABORER|农田荒芜，生计艰难，唯有投笔从戎，或可求得温饱。
LABORER|日复一日的劳作，不如以血肉之躯，在沙场上搏一个出路。
LABORER|不甘终身困于泥土，欲以汗水与鲜血，铸就一番功业。
FISHERMAN|河川枯竭，鱼虾无踪，不如弃舟从戎，搏一个生路。
FISHERMAN|水匪横行，生计难维，唯有提刀入伍，方可自保。
FISHERMAN|厌倦了水上漂泊，想在陆地上，用另一种方式捕获命运。
MINER|矿坑塌陷，生灵涂炭，不如以手中镐头，改掘乱世财宝。
MINER|不见天日的劳作，不如以血肉之躯，在阳光下搏杀。
MINER|不甘为奴为婢，愿以一身蛮力，在沙场上掘出新的人生。
PERFORMER|弦歌中断，看客散尽，不如以血肉为舞，再奏一曲悲歌。
PERFORMER|乱世无太平，歌舞难维生，唯有持剑而舞，方能生存。
PERFORMER|厌倦了虚假的欢笑，想在真实的战场上，演绎生命的价值。
MOHIST|兼爱非攻，终难平乱世之争，唯有以身入局，方能止戈。
MOHIST|墨者兼爱，却见民不聊生，愿以手中之剑，捍卫世间公义。
MOHIST|昔日游说诸侯，今欲以血肉之躯，亲身践行兼爱非攻之道。
REFUGEE|家乡被战火夷为平地，只剩下一条烂命。
REFUGEE|逃难途中与家人失散，为了活下去什么都肯做。
REFUGEE|流离失所，饥肠辘辘，只求一碗饱饭。
GRAVEDIGGER|见多了死人，也就看淡了生死。
GRAVEDIGGER|从死人身上扒下来的东西，不如自己亲手去抢。
GRAVEDIGGER|这乱世，活人比死人更可怕。
CRIPPLE|虽然断了一条腿，但手中的刀依然锋利。
CRIPPLE|旧伤未愈，新仇又起，只能以命相搏。
CRIPPLE|被人嫌弃的残躯，却藏着一颗不屈的心。
WOODCUTTER|这斧头既然能劈开硬木，自然也能劈开敌人的头颅。
WOODCUTTER|山林被毁，无树可伐，只能下山求生。
WOODCUTTER|常年在深山老林行走，练就了一身好气力。
BUTCHER|杀了一辈子的猪，想试试杀人是什么感觉。
BUTCHER|这把杀猪刀，也能用来保家卫国。
BUTCHER|力大无穷，手段狠辣，正是战场上需要的人。
HERDSMAN|草原大旱，牛羊死绝，只能拿起弓箭讨生活。
HERDSMAN|习惯了风餐露宿，也习惯了与狼共舞。
HERDSMAN|为了寻找失散的族人，踏上了漫漫征途。
MILITIAMAN|曾保卫过乡里，如今乡里已毁，只能四海为家。
MILITIAMAN|受过一些操练，比普通百姓更懂得配合。
MILITIAMAN|见过血，杀过贼，知道战场是怎么回事。
SCOUT|曾在军中担任斥候，擅长潜行和追踪。
SCOUT|一双鹰眼看透敌情，一双快腿跑赢死神。
SCOUT|习惯了在刀尖上行走，在阴影中穿梭。
SWORDSMAN|十年磨一剑，霜刃未曾试。
SWORDSMAN|为寻剑道真谛，不惜投身修罗场。
SWORDSMAN|身怀绝技，却无用武之地，只能卖艺卖命。
CAVALRYMAN|战马已死，长戈已折，但骑兵的荣耀犹在。
CAVALRYMAN|曾随大军南征北战，马术精湛，弓马娴熟。
CAVALRYMAN|怀念冲锋陷阵的快感，渴望再次听到战鼓雷鸣。
DIVINER|夜观天象，知大乱将至，特来寻找应劫之人。
DIVINER|卦象显示，生机在西方，故而一路追随。
DIVINER|虽手无缚鸡之力，却能洞察人心，预知吉凶。
KNIGHT_ERRANT|路见不平，拔刀相助，浪迹天涯，四海为家。
KNIGHT_ERRANT|为了一句承诺，不惜千里奔袭，取人首级。
KNIGHT_ERRANT|看不惯世间不平事，愿以手中剑，斩尽天下奸邪。
VETERAN_OFFICER|半生戎马，解甲归田后却发现已无法适应平静的生活。
